"","Area code","Township","SevMale","SevFemale","SevTotal","AttSvMale","AttSvFemale","AttSvTotal","pcAttSvMale","pcAttSvFemale","pcAttSvTotal"
"308","AREA # 130206","Mongkai",13,14,27,4,5,9,30.7692307692308,35.7142857142857,33.3333333333333
"309","AREA # 130207","Mineshu",7,6,13,2,1,3,28.5714285714286,16.6666666666667,23.0769230769231
"310","AREA # 130251","Panglong(ST)",12,12,24,3,NA,3,25,NA,12.5
"311","AREA # 130252","Kholan(ST)",5,5,10,1,1,2,20,20,20
"312","AREA # 130253","Karli(ST)",3,NA,3,2,NA,2,66.6666666666667,NA,66.6666666666667
"313","AREA # 130254","Minenaung(ST)",6,5,11,1,1,2,16.6666666666667,20,18.1818181818182
"314","AREA # 130255","Minesan(Monsan)(ST)",4,2,6,1,NA,1,25,NA,16.6666666666667
"315","AREA # 130301","Linkhe`",8,5,13,NA,NA,NA,NA,NA,NA
"316","AREA # 130302","Mone`",12,6,18,1,3,4,8.33333333333333,50,22.2222222222222
"317","AREA # 130303","Maukme`",10,1,11,3,1,4,30,100,36.3636363636364
"318","AREA # 130304","Minepan",6,4,10,1,1,2,16.6666666666667,25,20
"319","AREA # 130351","Homane(ST)",2,2,4,1,NA,1,50,NA,25
"320","AREA # 130352","Kengtaung(ST)",2,2,4,1,1,2,50,50,50
"321","AREA # 130401","Lashio",44,42,86,11,9,20,25,21.4285714285714,23.2558139534884
"322","AREA # 130402","Theinni",14,4,18,2,NA,2,14.2857142857143,NA,11.1111111111111
"323","AREA # 130403","Mineye`",10,13,23,3,1,4,30,7.69230769230769,17.3913043478261
"324","AREA # 130404","Tantyan",29,13,42,9,3,12,31.0344827586207,23.0769230769231,28.5714285714286
"325","AREA # 130501","MuSe",14,12,26,4,5,9,28.5714285714286,41.6666666666667,34.6153846153846
"326","AREA # 130502","Namkham",20,9,29,2,3,5,10,33.3333333333333,17.2413793103448
"327","AREA # 130503","Kukai",9,10,19,4,4,8,44.4444444444444,40,42.1052631578947
"328","AREA # 130551","Monekoe(ST)",4,2,6,2,NA,2,50,NA,33.3333333333333
"329","AREA # 130552","Manhero(ST)",1,NA,1,NA,NA,NA,NA,NA,NA
"330","AREA # 130553","Pansai(KyuKute)(ST)",2,1,3,NA,NA,NA,NA,NA,NA
"331","AREA # 130554","Tamoenye(ST)",17,10,27,4,2,6,23.5294117647059,20,22.2222222222222
"332","AREA # 130601","Kyukme",22,20,42,2,3,5,9.09090909090909,15,11.9047619047619
"333","AREA # 130602","Naungkhio",44,35,79,10,12,22,22.7272727272727,34.2857142857143,27.8481012658228
"334","AREA # 130603","Hsipaw",29,21,50,5,2,7,17.2413793103448,9.52380952380952,14
"335","AREA # 130604","Namtu",9,15,24,3,2,5,33.3333333333333,13.3333333333333,20.8333333333333
