"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU"
"232","Rakhine","Maungtaw","AREA # 110351","Taungpyoletwe(ST)","MMR012009","Maungdaw"
"233","Rakhine","Maungtaw","AREA # 110301","Maungtaw","MMR012009","Maungdaw"
"234","Rakhine","Maungtaw","AREA # 110302","Buthidaung","MMR012010","Buthidaung"
"235","Rakhine","Kyaukpyu","AREA # 110401","Kyaukpyu","MMR012011","Kyaukpyu"
"236","Rakhine","Kyaukpyu","AREA # 110402","Mannaung","MMR012012","Munaung"
"237","Rakhine","Kyaukpyu","AREA # 110403","Yanbye","MMR012013","Ramree"
"238","Rakhine","Kyaukpyu","AREA # 110404","An","MMR012014","Ann"
"239","Rakhine","Thandwe","AREA # 110501","Thandwe","MMR012015","Thandwe"
"240","Rakhine","Thandwe","AREA # 110551","Maei(ST)","MMR012016","Toungup"
"241","Rakhine","Thandwe","AREA # 110502","Toungup","MMR012016","Toungup"
"242","Rakhine","Thandwe","AREA # 110503","Gwa","MMR012017","Gwa"
"243","Rakhine","Thandwe","AREA # 110552","Kyeintali(ST)","MMR012017","Gwa"
"244","Yangon","North Yangon","AREA # 120101","Insein","MMR013001","Insein"
"245","Yangon","North Yangon","AREA # 120102","Mingaladon","MMR013002","Mingaladon"
"246","Yangon","North Yangon","AREA # 120103","Hmawby","MMR013003","Hmawbi"
"247","Yangon","North Yangon","AREA # 120104","Hlegu","MMR013004","Hlegu"
"248","Yangon","North Yangon","AREA # 120105","Taikkyi","MMR013005","Taikkyi"
"249","Yangon","North Yangon","AREA # 120106","Htantabin","MMR013006","Htantabin"
"250","Yangon","North Yangon","AREA # 120107","Shwepyitha","MMR013007","Shwepyithar"
"251","Yangon","North Yangon","AREA # 120108","Hlinethaya","MMR013008","Hlaingtharya"
"252","Yangon","East Yangon","AREA # 120201","Thingangyun","MMR013009","Thingangyun"
"253","Yangon","East Yangon","AREA # 120202","Yankin","MMR013010","Yankin"
"254","Yangon","East Yangon","AREA # 120203","South Okkalapa","MMR013011","South Okkalapa"
"255","Yangon","East Yangon","AREA # 120204","North Okkalapa","MMR013012","North Okkalapa"
"256","Yangon","East Yangon","AREA # 120205","Thakayta","MMR013013","Thaketa"
"257","Yangon","East Yangon","AREA # 120206","Dawbon","MMR013014","Dawbon"
"258","Yangon","East Yangon","AREA # 120207","Tamway","MMR013015","Tamwe"
"259","Yangon","East Yangon","AREA # 120208","Pazuntaung","MMR013016","Pazundaung"
"260","Yangon","East Yangon","AREA # 120209","Botahtaung","MMR013017","Botahtaung"
"261","Yangon","East Yangon","AREA # 120210","Dagon Myothit(South)","MMR013018","Dagon Myothit (South)"
"262","Yangon","East Yangon","AREA # 120211","Dagon Myothit(North)","MMR013019","Dagon Myothit (North)"
"263","Yangon","East Yangon","AREA # 120212","Dagon Myothit(East)","MMR013020","Dagon Myothit (East)"
"264","Yangon","East Yangon","AREA # 120213","Dagon Myothit(Seik)","MMR013021","Dagon Myothit (Seikkan)"
"265","Yangon","East Yangon","AREA # 120214","Mingala Taungnyunt","MMR013022","Mingalartaungnyunt"
"266","Yangon","South Yangon","AREA # 120301","Thanlyin","MMR013023","Thanlyin"
"267","Yangon","South Yangon","AREA # 120351","Tada(ST)","MMR013024","Kyauktan"
"268","Yangon","South Yangon","AREA # 120302","Kyauktan","MMR013024","Kyauktan"
"269","Yangon","South Yangon","AREA # 120303","Thongwa","MMR013025","Thongwa"
"270","Yangon","South Yangon","AREA # 120304","Khayan","MMR013026","Kayan"
"271","Yangon","South Yangon","AREA # 120305","Twantay","MMR013027","Twantay"
"272","Yangon","South Yangon","AREA # 120306","Kawhmu","MMR013028","Kawhmu"
"273","Yangon","South Yangon","AREA # 120307","Kungyangon","MMR013029","Kungyangon"
"274","Yangon","South Yangon","AREA # 120308","Dala","MMR013030","Dala"
"275","Yangon","South Yangon","AREA # 120309","Seikkyi/Khanaungto","MMR013031","Seikgyikanaungto"
"276","Yangon","South Yangon","AREA # 120310","Cocogyun","MMR013032","Cocokyun"
"277","Yangon","West Yangon","AREA # 120401","Kyauktada","MMR013033","Kyauktada"
"278","Yangon","West Yangon","AREA # 120402","Pabedan","MMR013034","Pabedan"
"279","Yangon","West Yangon","AREA # 120403","Lanmadaw","MMR013035","Lanmadaw"
"280","Yangon","West Yangon","AREA # 120404","Latha","MMR013036","Latha"
"281","Yangon","West Yangon","AREA # 120405","Ahlon","MMR013037","Ahlone"
"282","Yangon","West Yangon","AREA # 120406","Kyimyindine","MMR013038","Kyeemyindaing"
"283","Yangon","West Yangon","AREA # 120407","Sangyoung","MMR013039","Sanchaung"
"284","Yangon","West Yangon","AREA # 120408","Hline","MMR013040","Hlaing"
"285","Yangon","West Yangon","AREA # 120409","Kamayut","MMR013041","Kamaryut"
"286","Yangon","West Yangon","AREA # 120410","Mayangon","MMR013042","Mayangone"
"287","Yangon","West Yangon","AREA # 120411","Dagon","MMR013043","Dagon"
"288","Yangon","West Yangon","AREA # 120412","Bahan","MMR013044","Bahan"
"289","Yangon","West Yangon","AREA # 120413","Seikkan","MMR013045","Seikkan"
"290","Shan","Taunggyi","AREA # 130151","Kyauktalongyi(ST)","MMR014001","Taunggyi"
"291","Shan","Taunggyi","AREA # 130101","Taunggyi","MMR014001","Taunggyi"
"292","Shan","Taunggyi","AREA # 130102","Nyaungshwe","MMR014002","Nyaungshwe"
"293","Shan","Taunggyi","AREA # 130103","Hopon","MMR014003","Hopong"
"294","Shan","Taunggyi","AREA # 130104","Hsihseng","MMR014004","Hsihseng"
"295","Shan","Taunggyi","AREA # 130105","Kalaw","MMR014005","Kalaw"
"296","Shan","Taunggyi","AREA # 130106","Pindaya","MMR014006","Pindaya"
"297","Shan","Taunggyi","AREA # 130107","Ywarngan","MMR014007","Ywangan"
"298","Shan","Taunggyi","AREA # 130152","Indaw(ST)","MMR014008","Lawksawk"
"299","Shan","Taunggyi","AREA # 130108","Yatsauk","MMR014008","Lawksawk"
"300","Shan","Taunggyi","AREA # 130153","Naungtayar(ST)","MMR014009","Pinlaung"
"301","Shan","Taunggyi","AREA # 130109","Pinlaung","MMR014009","Pinlaung"
"302","Shan","Taunggyi","AREA # 130110","Phekon","MMR014010","Pekon"
"303","Shan","Loilin","AREA # 130251","Panglong(ST)","MMR014011","Loilen"
"304","Shan","Loilin","AREA # 130201","Loilem","MMR014011","Loilen"
"305","Shan","Loilin","AREA # 130202","Le`char","MMR014012","Laihka"
"306","Shan","Loilin","AREA # 130252","Kholan(ST)","MMR014013","Nansang"
"307","Shan","Loilin","AREA # 130203","Nanhsam(South)","MMR014013","Nansang"
"308","Shan","Loilin","AREA # 130253","Karli(ST)","MMR014014","Kunhing"
"309","Shan","Loilin","AREA # 130204","Kunhing","MMR014014","Kunhing"
"310","Shan","Loilin","AREA # 130254","Minenaung(ST)","MMR014015","Kyethi"
"311","Shan","Loilin","AREA # 130205","Kehsi","MMR014015","Kyethi"
"312","Shan","Loilin","AREA # 130206","Mongkai","MMR014016","Mongkaing"
"313","Shan","Loilin","AREA # 130255","Minesan(Monsan)(ST)","MMR014017","Monghsu"
"314","Shan","Loilin","AREA # 130207","Mineshu","MMR014017","Monghsu"
"315","Shan","Linkhe`","AREA # 130351","Homane(ST)","MMR014018","Langkho"
"316","Shan","Linkhe`","AREA # 130301","Linkhe`","MMR014018","Langkho"
"317","Shan","Linkhe`","AREA # 130302","Mone`","MMR014019","Mongnai"
"318","Shan","Linkhe`","AREA # 130352","Kengtaung(ST)","MMR014019","Mongnai"
"319","Shan","Linkhe`","AREA # 130303","Maukme`","MMR014020","Mawkmai"
"320","Shan","Linkhe`","AREA # 130304","Minepan","MMR014021","Mongpan"
"321","Shan","Lashio","AREA # 130401","Lashio","MMR015001","Lashio"
"322","Shan","Lashio","AREA # 130402","Theinni","MMR015002","Hseni"
"323","Shan","Lashio","AREA # 130403","Mineye`","MMR015003","Mongyai"
"324","Shan","Lashio","AREA # 130404","Tantyan","MMR015004","Tangyan"
"325","Shan","Makman","AREA # 131051","ManKan(ST)","MMR015005","Pangsang"
