"","AreaCode","Township","SvMale","SvFemale","SvTotal","AttSvMale","AttSvFemale","AttSvTotal","pcAttSvMale","pcAttSvFemale","pcAttSvTotal"
"189","AREA # 090201","Pyin Oo Lwin",39,28,67,4,4,8,10.2564102564103,14.2857142857143,11.9402985074627
"190","AREA # 090202","Madaya",40,40,80,7,3,10,17.5,7.5,12.5
"191","AREA # 090203","Sinku",41,31,72,7,5,12,17.0731707317073,16.1290322580645,16.6666666666667
"192","AREA # 090204","Mogok",35,19,54,12,6,18,34.2857142857143,31.5789473684211,33.3333333333333
"193","AREA # 090205","Thabeikkyin",24,15,39,6,5,11,25,33.3333333333333,28.2051282051282
"194","AREA # 090251","Tagaung",6,8,14,1,2,3,16.6666666666667,25,21.4285714285714
"195","AREA # 090301","Kyaukse",35,24,59,6,2,8,17.1428571428571,8.33333333333333,13.5593220338983
"196","AREA # 090302","Singaing",18,26,44,2,1,3,11.1111111111111,3.84615384615385,6.81818181818182
"197","AREA # 090303","Myitthar",35,23,58,8,2,10,22.8571428571429,8.69565217391304,17.2413793103448
"198","AREA # 090304","Tada U",19,11,30,NA,1,1,NA,9.09090909090909,3.33333333333333
"199","AREA # 090401","Myingyan",56,44,100,10,10,20,17.8571428571429,22.7272727272727,20
"200","AREA # 090402","Taungtha",38,31,69,9,7,16,23.6842105263158,22.5806451612903,23.1884057971014
"201","AREA # 090403","Natogyi",33,28,61,12,6,18,36.3636363636364,21.4285714285714,29.5081967213115
"202","AREA # 090404","Kyaukpadaung",37,30,67,7,6,13,18.9189189189189,20,19.4029850746269
"203","AREA # 090405","Ngazun",21,24,45,4,4,8,19.047619047619,16.6666666666667,17.7777777777778
"204","AREA # 090501","Nyaung U",52,31,83,10,8,18,19.2307692307692,25.8064516129032,21.6867469879518
"205","AREA # 090551","Ngat",17,13,30,7,9,16,41.1764705882353,69.2307692307692,53.3333333333333
"206","AREA # 090601","Yame`thin",62,39,101,15,9,24,24.1935483870968,23.0769230769231,23.7623762376238
"207","AREA # 090602","Pyawbwe",42,47,89,6,11,17,14.2857142857143,23.4042553191489,19.1011235955056
"208","AREA # 090701","Meiktila",59,46,105,15,4,19,25.4237288135593,8.69565217391304,18.0952380952381
"209","AREA # 090702","MahlYaing",32,25,57,5,5,10,15.625,20,17.5438596491228
"210","AREA # 090703","Thazi",38,45,83,9,10,19,23.6842105263158,22.2222222222222,22.8915662650602
"211","AREA # 090704","Wundwin",36,32,68,6,4,10,16.6666666666667,12.5,14.7058823529412
"212","AREA # 100101","Mawlamyine",41,46,87,8,10,18,19.5121951219512,21.7391304347826,20.6896551724138
"213","AREA # 100102","Kyaikemaraw",53,31,84,4,7,11,7.54716981132075,22.5806451612903,13.0952380952381
"214","AREA # 100103","Chaungzon",17,22,39,3,8,11,17.6470588235294,36.3636363636364,28.2051282051282
"215","AREA # 100104","Thanbyuzayat",48,38,86,10,6,16,20.8333333333333,15.7894736842105,18.6046511627907
"216","AREA # 100105","Mudon",43,33,76,8,5,13,18.6046511627907,15.1515151515152,17.1052631578947
"217","AREA # 100106","Ye",44,33,77,12,7,19,27.2727272727273,21.2121212121212,24.6753246753247
"218","AREA # 100151","Lamine",17,18,35,4,2,6,23.5294117647059,11.1111111111111,17.1428571428571
"219","AREA # 100152","Khawzar",5,2,7,3,1,4,60,50,57.1428571428571
"220","AREA # 100201","Thaton",49,44,93,10,9,19,20.4081632653061,20.4545454545455,20.4301075268817
"221","AREA # 100202","Paung",52,40,92,11,9,20,21.1538461538462,22.5,21.7391304347826
"222","AREA # 100203","Kyaikto",47,36,83,16,9,25,34.0425531914894,25,30.1204819277108
"223","AREA # 100204","Bilin",62,49,111,19,8,27,30.6451612903226,16.3265306122449,24.3243243243243
"224","AREA # 110101","Sittway",30,9,39,6,2,8,20,22.2222222222222,20.5128205128205
"225","AREA # 110102","Ponnagyun",28,31,59,9,3,12,32.1428571428571,9.67741935483871,20.3389830508475
"226","AREA # 110103","Pauktaw",21,24,45,3,2,5,14.2857142857143,8.33333333333333,11.1111111111111
"227","AREA # 110104","Yethedaung",44,34,78,13,11,24,29.5454545454545,32.3529411764706,30.7692307692308
"228","AREA # 110201","Myauk U",65,47,112,23,16,39,35.3846153846154,34.0425531914894,34.8214285714286
"229","AREA # 110202","Kyauktaw",48,34,82,19,10,29,39.5833333333333,29.4117647058824,35.3658536585366
