"","AreaCode","Township","Male","Female","Total"
"322","AREA # 130402","Theinni",NA,1,1
"323","AREA # 130403","Mineye`",NA,NA,NA
"324","AREA # 130404","Tantyan",1,2,3
"325","AREA # 130501","MuSe",3,NA,3
"326","AREA # 130502","Namkham",5,3,8
"327","AREA # 130503","Kukai",3,7,10
"328","AREA # 130551","Monekoe(ST)",1,1,2
"329","AREA # 130552","Manhero(ST)",NA,NA,NA
"330","AREA # 130553","Pansai(KyuKute)(ST)",NA,NA,NA
"331","AREA # 130554","Tamoenye(ST)",1,1,2
"332","AREA # 130601","Kyukme",6,4,10
"333","AREA # 130602","Naungkhio",11,3,14
"334","AREA # 130603","Hsipaw",2,6,8
"335","AREA # 130604","Namtu",2,4,6
"336","AREA # 130605","Namsan(North)",6,2,8
"337","AREA # 130606","Momeik",4,5,9
"338","AREA # 130607","Mabane",3,3,6
"339","AREA # 130608","Manton",2,2,4
"340","AREA # 130651","Minengaw(ST)",NA,NA,NA
"341","AREA # 130652","Minelon(ST)",2,1,3
"342","AREA # 130701","Kunlon",5,2,7
"343","AREA # 130801","Laukine",5,3,8
"344","AREA # 130802","Kongyan",1,2,3
"345","AREA # 130851","Chinshwehaw(ST)",NA,NA,NA
"346","AREA # 130852","Mawhtike(ST)",NA,NA,NA
"347","AREA # 130901","Hopan",NA,1,1
"348","AREA # 130902","Minemaw",NA,2,2
"349","AREA # 130903","Panwine",14,3,17
"350","AREA # 130952","Panlon(ST)",1,NA,1
"351","AREA # 131001","Makman",NA,NA,NA
"352","AREA # 131002","Pan San(Pan Kham)",1,NA,1
"353","AREA # 131003","Naphang",1,2,3
"354","AREA # 131051","ManKan(ST)",NA,NA,NA
"355","AREA # 131101","Kengtung",4,3,7
"356","AREA # 131102","Minekat",1,1,2
"357","AREA # 131103","Mineyan",NA,1,1
"358","AREA # 131104","Minelar",1,1,2
"359","AREA # 131151","Mine Pauk(ST)",1,NA,1
"360","AREA # 131201","Minesat",4,1,5
"361","AREA # 131202","Minepyin",3,NA,3
"362","AREA # 131203","Minetung",1,2,3
"363","AREA # 131251","Minekoke(ST)",NA,NA,NA
"364","AREA # 131252","Tontar(ST)",NA,NA,NA
"365","AREA # 131253","Ponparkyin(ST)",3,3,6
"366","AREA # 131254","Monehta(ST)",NA,NA,NA
"367","AREA # 131301","Tachileik",3,2,5
"368","AREA # 131351","Talay(ST)",3,2,5
"369","AREA # 131352","Kenglat(ST)",NA,1,1
"370","AREA # 131401","Minephyat",2,NA,2
"371","AREA # 131402","Mineyaung",NA,1,1
"372","AREA # 131451","Mineyu(ST)",3,1,4
"373","AREA # 140101","Kangyidaunt",9,7,16
"374","AREA # 140102","Kyaungon",9,6,15
"375","AREA # 140103","Kyonpyaw",20,22,42
"376","AREA # 140104","Ngaputaw",8,13,21
"377","AREA # 140105","Pathein",11,13,24
"378","AREA # 140106","Yekyi",7,3,10
"379","AREA # 140107","Thapaung",9,8,17
"380","AREA # 140151","Ngayokaung(ST)",3,1,4
"381","AREA # 140152","Hainggyikyun(ST)",12,9,21
"382","AREA # 140153","Shwethaungyan(ST)",2,1,3
"383","AREA # 140154","Ngwehsaung(ST)",4,1,5
"384","AREA # 140155","Ngathaingchaung(ST)",6,3,9
"385","AREA # 140201","Kyaiklatt",13,15,28
"386","AREA # 140202","Daydaye",14,9,23
"387","AREA # 140203","Phyapon",26,13,39
"388","AREA # 140204","Bogale",55,36,91
"389","AREA # 140251","Ahmar(ST)",27,16,43
"390","AREA # 140301","Nyaungdon",13,7,20
"391","AREA # 140302","Danubyu",11,9,20
"392","AREA # 140303","Pantanaw",15,16,31
"393","AREA # 140304","Maubin",20,18,38
"394","AREA # 140401","Myaungmya",24,13,37
"395","AREA # 140402","Wakema",19,15,34
"396","AREA # 140403","Einme",6,2,8
"397","AREA # 140501","Mawlamyinegyun",61,48,109
"398","AREA # 140502","Labutta",23,17,40
"399","AREA # 140551","Pyinsalu(ST)",5,7,12
"400","AREA # 140601","Kyangin",4,2,6
"401","AREA # 140602","Zalun",9,8,17
"402","AREA # 140603","Myanaung",8,6,14
"403","AREA # 140604","Laymyethna",7,2,9
"404","AREA # 140605","Hinthada",21,23,44
"405","AREA # 140606","Ingapu",16,13,29
"406","AREA # 150101","Tatkon",6,3,9
"407","AREA # 150102","Zeyarthiri",2,2,4
"408","AREA # 150103","Ottarathiri",2,NA,2
"409","AREA # 150104","Pobbathiri",3,6,9
"410","AREA # 150201","Pyinmana",8,8,16
"411","AREA # 150202","Lewe",12,7,19
"412","AREA # 150203","Zabuthiri",3,3,6
"413","AREA # 150204","Dekkhinathiri",NA,1,1
