"","AreaCode","Township","Male","Female","Total"
"224","AREA # 110101","Sittway",30,9,39
"225","AREA # 110102","Ponnagyun",28,31,59
"226","AREA # 110103","Pauktaw",21,24,45
"227","AREA # 110104","Yethedaung",44,34,78
"228","AREA # 110201","Myauk U",65,47,112
"229","AREA # 110202","Kyauktaw",48,34,82
"230","AREA # 110203","Minbya",49,30,79
"231","AREA # 110204","Myebon",25,37,62
"232","AREA # 110301","Maungtaw",13,5,18
"233","AREA # 110302","Buthidaung",19,12,31
"234","AREA # 110351","Taungpyoletwe(ST)",1,1,2
"235","AREA # 110401","Kyaukpyu",44,27,71
"236","AREA # 110402","Mannaung",14,13,27
"237","AREA # 110403","Yanbye",22,11,33
"238","AREA # 110404","An",29,19,48
"239","AREA # 110501","Thandwe",25,20,45
"240","AREA # 110502","Toungup",28,22,50
"241","AREA # 110503","Gwa",12,6,18
"242","AREA # 110551","Maei(ST)",8,7,15
"243","AREA # 110552","Kyeintali(ST)",10,6,16
"244","AREA # 120101","Insein",46,46,92
"245","AREA # 120102","Mingaladon",61,40,101
"246","AREA # 120103","Hmawby",44,35,79
"247","AREA # 120104","Hlegu",51,52,103
"248","AREA # 120105","Taikkyi",75,58,133
"249","AREA # 120106","Htantabin",49,30,79
"250","AREA # 120107","Shwepyitha",48,48,96
"251","AREA # 120108","Hlinethaya",132,119,251
"252","AREA # 120201","Thingangyun",25,34,59
"253","AREA # 120202","Yankin",11,10,21
"254","AREA # 120203","South Okkalapa",21,29,50
"255","AREA # 120204","North Okkalapa",52,38,90
"256","AREA # 120205","Thakayta",29,19,48
"257","AREA # 120206","Dawbon",10,6,16
"258","AREA # 120207","Tamway",31,17,48
"259","AREA # 120208","Pazuntaung",3,5,8
"260","AREA # 120209","Botahtaung",4,1,5
"261","AREA # 120210","Dagon Myothit(South)",59,56,115
"262","AREA # 120211","Dagon Myothit(North)",34,33,67
"263","AREA # 120212","Dagon Myothit(East)",40,37,77
"264","AREA # 120213","Dagon Myothit(Seik)",29,35,64
"265","AREA # 120214","Mingala Taungnyunt",16,16,32
"266","AREA # 120301","Thanlyin",39,36,75
"267","AREA # 120302","Kyauktan",26,20,46
"268","AREA # 120303","Thongwa",31,26,57
"269","AREA # 120304","Khayan",39,28,67
"270","AREA # 120305","Twantay",48,41,89
"271","AREA # 120306","Kawhmu",22,26,48
"272","AREA # 120307","Kungyangon",38,26,64
"273","AREA # 120308","Dala",42,31,73
"274","AREA # 120309","Seikkyi/Khanaungto",9,8,17
"275","AREA # 120310","Cocogyun",2,1,3
"276","AREA # 120351","Tada(ST)",8,6,14
"277","AREA # 120401","Kyauktada",3,4,7
"278","AREA # 120402","Pabedan",4,2,6
"279","AREA # 120403","Lanmadaw",3,1,4
"280","AREA # 120404","Latha",5,2,7
"281","AREA # 120405","Ahlon",2,6,8
"282","AREA # 120406","Kyimyindine",12,11,23
"283","AREA # 120407","Sangyoung",11,7,18
"284","AREA # 120408","Hline",24,17,41
"285","AREA # 120409","Kamayut",3,4,7
"286","AREA # 120410","Mayangon",43,36,79
"287","AREA # 120411","Dagon",NA,4,4
"288","AREA # 120412","Bahan",12,9,21
"289","AREA # 120413","Seikkan",NA,NA,NA
"290","AREA # 130101","Taunggyi",80,41,121
"291","AREA # 130102","Nyaungshwe",45,28,73
"292","AREA # 130103","Hopon",20,10,30
"293","AREA # 130104","Hsihseng",36,24,60
"294","AREA # 130105","Kalaw",30,32,62
"295","AREA # 130106","Pindaya",27,13,40
"296","AREA # 130107","Ywarngan",21,15,36
"297","AREA # 130108","Yatsauk",27,23,50
"298","AREA # 130109","Pinlaung",25,19,44
"299","AREA # 130110","Phekon",29,25,54
"300","AREA # 130151","Kyauktalongyi(ST)",13,12,25
"301","AREA # 130152","Indaw(ST)",13,7,20
"302","AREA # 130153","Naungtayar(ST)",19,16,35
"303","AREA # 130201","Loilem",1,7,8
"304","AREA # 130202","Le`char",11,7,18
"305","AREA # 130203","Nanhsam(South)",7,12,19
"306","AREA # 130204","Kunhing",2,2,4
"307","AREA # 130205","Kehsi",7,8,15
"308","AREA # 130206","Mongkai",13,4,17
"309","AREA # 130207","Mineshu",6,6,12
"310","AREA # 130251","Panglong(ST)",9,10,19
"311","AREA # 130252","Kholan(ST)",6,7,13
"312","AREA # 130253","Karli(ST)",4,NA,4
"313","AREA # 130254","Minenaung(ST)",8,3,11
"314","AREA # 130255","Minesan(Monsan)(ST)",1,1,2
"315","AREA # 130301","Linkhe`",7,2,9
"316","AREA # 130302","Mone`",4,6,10
"317","AREA # 130303","Maukme`",9,6,15
"318","AREA # 130304","Minepan",4,2,6
"319","AREA # 130351","Homane(ST)",1,2,3
"320","AREA # 130352","Kengtaung(ST)",NA,2,2
"321","AREA # 130401","Lashio",42,32,74
"322","AREA # 130402","Theinni",8,4,12
"323","AREA # 130403","Mineye`",6,6,12
"324","AREA # 130404","Tantyan",15,17,32
"325","AREA # 130501","MuSe",20,13,33
"326","AREA # 130502","Namkham",16,9,25
"327","AREA # 130503","Kukai",11,12,23
"328","AREA # 130551","Monekoe(ST)",3,6,9
"329","AREA # 130552","Manhero(ST)",NA,NA,NA
"330","AREA # 130553","Pansai(KyuKute)(ST)",1,1,2
"331","AREA # 130554","Tamoenye(ST)",10,5,15
"332","AREA # 130601","Kyukme",21,21,42
"333","AREA # 130602","Naungkhio",32,30,62
"334","AREA # 130603","Hsipaw",22,24,46
"335","AREA # 130604","Namtu",15,10,25
"336","AREA # 130605","Namsan(North)",13,10,23
"337","AREA # 130606","Momeik",16,16,32
"338","AREA # 130607","Mabane",6,14,20
"339","AREA # 130608","Manton",8,10,18
"340","AREA # 130651","Minengaw(ST)",2,NA,2
"341","AREA # 130652","Minelon(ST)",4,3,7
"342","AREA # 130701","Kunlon",11,8,19
"343","AREA # 130801","Laukine",16,16,32
"344","AREA # 130802","Kongyan",3,4,7
"345","AREA # 130851","Chinshwehaw(ST)",2,NA,2
"346","AREA # 130852","Mawhtike(ST)",2,5,7
"347","AREA # 130901","Hopan",7,6,13
"348","AREA # 130902","Minemaw",4,3,7
"349","AREA # 130903","Panwine",95,74,169
"350","AREA # 130952","Panlon(ST)",3,NA,3
"351","AREA # 131001","Makman",3,2,5
"352","AREA # 131002","Pan San(Pan Kham)",20,14,34
"353","AREA # 131003","Naphang",15,18,33
"354","AREA # 131051","ManKan(ST)",NA,NA,NA
"355","AREA # 131101","Kengtung",41,24,65
"356","AREA # 131102","Minekat",6,2,8
"357","AREA # 131103","Mineyan",3,3,6
"358","AREA # 131104","Minelar",4,2,6
"359","AREA # 131151","Mine Pauk(ST)",9,NA,9
"360","AREA # 131201","Minesat",27,13,40
"361","AREA # 131202","Minepyin",7,8,15
"362","AREA # 131203","Minetung",8,6,14
"363","AREA # 131251","Minekoke(ST)",NA,2,2
"364","AREA # 131252","Tontar(ST)",2,NA,2
"365","AREA # 131253","Ponparkyin(ST)",13,6,19
"366","AREA # 131254","Monehta(ST)",2,NA,2
"367","AREA # 131301","Tachileik",21,14,35
"368","AREA # 131351","Talay(ST)",6,6,12
"369","AREA # 131352","Kenglat(ST)",NA,1,1
"370","AREA # 131401","Minephyat",7,5,12
"371","AREA # 131402","Mineyaung",6,1,7
"372","AREA # 131451","Mineyu(ST)",13,9,22
"373","AREA # 140101","Kangyidaunt",44,43,87
"374","AREA # 140102","Kyaungon",50,36,86
"375","AREA # 140103","Kyonpyaw",92,70,162
"376","AREA # 140104","Ngaputaw",39,36,75
"377","AREA # 140105","Pathein",80,78,158
"378","AREA # 140106","Yekyi",34,30,64
"379","AREA # 140107","Thapaung",34,41,75
"380","AREA # 140151","Ngayokaung(ST)",10,9,19
"381","AREA # 140152","Hainggyikyun(ST)",27,30,57
"382","AREA # 140153","Shwethaungyan(ST)",7,10,17
"383","AREA # 140154","Ngwehsaung(ST)",16,9,25
"384","AREA # 140155","Ngathaingchaung(ST)",27,10,37
"385","AREA # 140201","Kyaiklatt",54,49,103
"386","AREA # 140202","Daydaye",46,34,80
"387","AREA # 140203","Phyapon",69,46,115
"388","AREA # 140204","Bogale",136,111,247
"389","AREA # 140251","Ahmar(ST)",74,41,115
"390","AREA # 140301","Nyaungdon",70,50,120
"391","AREA # 140302","Danubyu",57,42,99
"392","AREA # 140303","Pantanaw",75,59,134
"393","AREA # 140304","Maubin",80,67,147
"394","AREA # 140401","Myaungmya",91,92,183
"395","AREA # 140402","Wakema",70,66,136
"396","AREA # 140403","Einme",42,52,94
"397","AREA # 140501","Mawlamyinegyun",161,118,279
"398","AREA # 140502","Labutta",70,59,129
"399","AREA # 140551","Pyinsalu(ST)",28,18,46
"400","AREA # 140601","Kyangin",25,16,41
"401","AREA # 140602","Zalun",45,41,86
"402","AREA # 140603","Myanaung",56,45,101
"403","AREA # 140604","Laymyethna",20,20,40
"404","AREA # 140605","Hinthada",108,87,195
"405","AREA # 140606","Ingapu",81,52,133
"406","AREA # 150101","Tatkon",36,25,61
"407","AREA # 150102","Zeyarthiri",15,17,32
"408","AREA # 150103","Ottarathiri",7,10,17
"409","AREA # 150104","Pobbathiri",18,18,36
"410","AREA # 150201","Pyinmana",47,43,90
"411","AREA # 150202","Lewe",57,42,99
"412","AREA # 150203","Zabuthiri",14,11,25
"413","AREA # 150204","Dekkhinathiri",3,2,5
